5719,1803
2447,4972
7353,2318
3671,7458
8170,2576
3671,7458
3268,1031
4079,8287
817,258
2447,4972
4085,1288
408,829
8170,2576
3671,7458
3268,1031
1224,2486
5719,1803
408,829
1634,516
2040,4144
4902,1546
816,1658
6536,2061
408,829
2451,773
816,1658
817,258
1632,3315
2451,773
2855,5801
6536,2061
4079,8287
4902,1546
3671,7458
1634,516
2040,4144
5719,1803
1632,3315
8170,2576
1224,2486
6536,2061
2855,5801
4085,1288
1632,3315
3268,1031
2040,4144
2451,773
3263,6630
2451,773
816,1658
16275
13779
14728
19543
18849
